00:09:11 | 401 |      77.765ms | 127.0.0.1 | POST | /api/auth/login | -
00:13:11 | 401 |     74.7533ms | 127.0.0.1 | POST | /api/auth/login | -
00:14:06 | 401 |     91.0963ms | 127.0.0.1 | POST | /api/auth/login | -
00:17:11 | 401 |     72.4618ms | 127.0.0.1 | POST | /api/auth/login | -
00:20:11 | 401 |     91.9397ms | 127.0.0.1 | POST | /api/auth/login | -
00:20:22 | 401 |     77.1104ms | 127.0.0.1 | POST | /api/auth/login | -
00:25:39 | 401 |     74.0523ms | 127.0.0.1 | POST | /api/auth/login | -
00:28:10 | 401 |     82.3105ms | 127.0.0.1 | POST | /api/auth/login | -
00:28:25 | 401 |     71.0251ms | 127.0.0.1 | POST | /api/auth/login | -
00:31:52 | 401 |     79.8266ms | 127.0.0.1 | POST | /api/auth/login | -
00:33:05 | 401 |     78.9076ms | 127.0.0.1 | POST | /api/auth/login | -
00:35:57 | 200 |     70.7525ms | 127.0.0.1 | POST | /api/auth/login | -
00:37:17 | 404 |       661.7µs | 127.0.0.1 | POST | /api/admin/users | Cannot POST /api/admin/users
08:10:20 | 200 |    282.2391ms | 127.0.0.1 | POST | /api/auth/login | -
08:30:13 | 200 |     162.645ms | 127.0.0.1 | POST | /api/auth/login | -
08:30:52 | 404 |      1.6536ms | 127.0.0.1 | POST | /api/admin/users | Cannot POST /api/admin/users
14:26:15 | 200 |    112.4268ms | 127.0.0.1 | POST | /api/auth/login | -
14:28:04 | 404 |      2.8753ms | 127.0.0.1 | POST | /api/admin/users | Cannot POST /api/admin/users
14:35:42 | 200 |     72.3348ms | 127.0.0.1 | POST | /api/auth/login | -
14:36:14 | 201 |     92.0042ms | 127.0.0.1 | POST | /api/admin/users | -
14:42:51 | 200 |     71.2722ms | 127.0.0.1 | POST | /api/auth/login | -
14:45:08 | 201 |    120.5817ms | 127.0.0.1 | POST | /api/admin/users | -
16:52:06 | 200 |     304.267ms | 127.0.0.1 | POST | /api/auth/login | -
17:10:39 | 200 |    193.4611ms | 127.0.0.1 | POST | /api/auth/login | -
